,Introduced in House,Reported to House,Passed House,Passed Senate,Public Law,bill,title,Introduced in Senate,House agreed to Senate amendment,Reported to Senate,"Reported to House, Part I",Conference report filed in House,Senate agreed to House amendment
31,"Designates the facility of the United States Postal Service located at 111 James Street in Reidsville, Georgia, as the ""Senator Jack Hill Post Office Building.""",,,," <p>Designates the facility of the United States Postal Service located at 111 James Street in Reidsville, Georgia, as the ""Senator Jack Hill Post Office Building.""</p>",7088,"To designate the facility of the United States Postal Service located at 111 James Street in Reidsville, Georgia, as the Senator Jack Hill Post Office Building.",,,,,,
32," <p>This bill extends federal torts claim coverage for certain personal injury claims (i.e., medical malpractice liability protection) to urban Indian organizations and their employees by deeming them as part of the Public Health Service. Currently, such coverage is provided to Indian tribes, tribal organizations, Indian contractors, and their employees.</p>",," <p>This bill extends federal torts claim coverage for certain personal injury claims (i.e., medical malpractice liability protection) to urban Indian organizations and their employees by deeming them as part of the Public Health Service. Currently, such coverage is provided to Indian tribes, tribal organizations, Indian contractors, and their employees.</p>"," <p>This bill extends federal torts claim coverage for certain personal injury claims (i.e., medical malpractice liability protection) to urban Indian organizations and their employees by deeming them as part of the Public Health Service. Currently, such coverage is provided to Indian tribes, tribal organizations, Indian contractors, and their employees.</p>"," <p>This bill extends federal torts claim coverage for certain personal injury claims (i.e., medical malpractice liability protection) to urban Indian organizations and their employees by deeming them as part of the Public Health Service. Currently, such coverage is provided to Indian tribes, tribal organizations, Indian contractors, and their employees.</p>",6535,"To deem an urban Indian organization and employees thereof to be a part of the Public Health Service for the purposes of certain claims for personal injury, and for other purposes.",,,," <p>This bill extends federal torts claim coverage for certain personal injury claims (i.e., medical malpractice liability protection) to urban Indian organizations and their employees by deeming them as part of the Public Health Service. Currently, such coverage is provided to Indian tribes, tribal organizations, Indian contractors, and their employees.</p>",,
33," <p><b>Combating Pandemic Scams Act of 2020</b><br /><br />This bill requires the Federal Trade Commission (FTC), in consultation with relevant agencies, to inform the public about mail, telemarketing, and internet scams related to COVID-19 (i.e., coronavirus disease 2019). The FTC must establish a national database for such information and must also disseminate information on&nbsp;how to report COVID-19-related scams to the appropriate agency. </p>"," <p><b>Combating Pandemic Scams Act of 2020</b><br /><br />This bill requires the Federal Trade Commission (FTC), in consultation with relevant agencies, to inform the public about mail, telemarketing, and internet scams related to COVID-19 (i.e., coronavirus disease 2019). The FTC must establish a national database for such information and must also disseminate information on&nbsp;how to report COVID-19-related scams to the appropriate agency. </p>"," <p><b>Combating Pandemic Scams Act of 2020</b><br /><br />This bill requires the Federal Trade Commission (FTC), in consultation with relevant agencies, to inform the public about mail, telemarketing, and internet scams related to COVID-19 (i.e., coronavirus disease 2019). The FTC must establish a national database for such information and must also disseminate information on&nbsp;how to report COVID-19-related scams to the appropriate agency. </p>"," <p><b>Combating Pandemic Scams Act of 2020</b><br /><br />This bill requires the Federal Trade Commission (FTC), in consultation with relevant agencies, to inform the public about mail, telemarketing, and internet scams related to COVID-19 (i.e., coronavirus disease 2019). The FTC must establish a national database for such information and must also disseminate information on&nbsp;how to report COVID-19-related scams to the appropriate agency. </p>"," <p><b>Combating Pandemic Scams Act of 2020</b><br /><br /> This bill requires the Federal Trade Commission (FTC), in consultation with relevant agencies, to inform the public about mail, telemarketing, and internet scams related to COVID-19 (i.e., coronavirus disease 2019). The FTC must establish a national database for such information and must also disseminate information on&nbsp;how to report COVID-19-related scams to the appropriate agency. </p>",6435,Combating Pandemic Scams Act of 2020,,,,,,
34,"Designates the facility of the United States Postal Service located at 509 Fairhope Avenue in Fairhope, Alabama, as the ""William 'Jack' Jackson Edwards III Post Office Building.""",,,," <p>Designates the facility of the United States Postal Service located at 509 Fairhope Avenue in Fairhope, Alabama, as the ""William 'Jack' Jackson Edwards III Post Office Building.""</p>",6418,"To designate the facility of the United States Postal Service located at 509 Fairhope Avenue in Fairhope, Alabama, as the William Jack Jackson Edwards III Post Office Building.",,,,,,
35," <p><b>Proper and Reimbursed Care for Native Veterans Act or the PRC for Native Veterans Act</b></p> <p>This bill specifies that the Department of Veterans Affairs or the Department of Defense must reimburse the Indian Health Service (IHS), tribes, or tribal organizations for health care services provided to American Indian and Alaska Native veterans, regardless of whether such services are provided directly by the IHS, tribes, or tribal organizations, or through certain contracts for services.</p>",," <p><b>Proper and Reimbursed Care for Native Veterans Act or the PRC for Native Veterans Act</b></p> <p>This bill specifies that the Department of Veterans Affairs or the Department of Defense must reimburse the Indian Health Service (IHS), tribes, or tribal organizations for health care services provided to American Indian and Alaska Native veterans, regardless of whether such services are provided directly by the IHS, tribes, or tribal organizations, through purchased/referred care, or through contracts for travel.</p>"," <p><b>Proper and Reimbursed Care for Native Veterans Act or the PRC for Native Veterans Act</b></p> <p>This bill specifies that the Department of Veterans Affairs or the Department of Defense must reimburse the Indian Health Service (IHS), tribes, or tribal organizations for health care services provided to American Indian and Alaska Native veterans, regardless of whether such services are provided directly by the IHS, tribes, or tribal organizations, through purchased/referred care, or through contracts for travel.</p>"," <p><b>Proper and Reimbursed Care for Native Veterans Act or the PRC for Native Veterans Act</b></p> <p>This bill specifies that the Department of Veterans Affairs or the Department of Defense must reimburse the Indian Health Service (IHS), tribes, or tribal organizations for health care services provided to American Indian and Alaska Native veterans, regardless of whether such services are provided directly by the IHS, tribes, or tribal organizations, through purchased/referred care, or through contracts for travel.</p>",6237,PRC for Native Veterans Act,,,,,,
36," <p><b>1921 Silver Dollar Coin Anniversary Act</b></p> <p>The Department of the Treasury shall mint and issue $1 coins in recognition of the 100th anniversary of completion of coinage of the Morgan dollar and the 100th anniversary of commencement of coinage of the Peace dollar. </p> <p>Treasury may issue such coins beginning on January 1, 2021. </p>",," <p><b>1921 Silver Dollar Coin Anniversary Act</b></p> <p>(Sec. 3) The Department of the Treasury shall mint and issue $1 coins in recognition of the 100th anniversary of completion of coinage of the Morgan dollar and the 100th anniversary of commencement of coinage of the Peace dollar. </p> <p>(Sec. 5) Treasury may issue such coins beginning on January 1, 2021. </p> <p>(Sec.6) Treasury must sell such coins at a price equal to the sum of their face value and the cost of designing and issuing the coins and may make bulk sales of the coins issued at a reasonable discount.</p>"," <p><b>1921 Silver Dollar Coin Anniversary Act</b></p> <p>(Sec. 3) The Department of the Treasury shall mint and issue $1 coins in recognition of the 100th anniversary of completion of coinage of the Morgan dollar and the 100th anniversary of commencement of coinage of the Peace dollar. </p> <p>(Sec. 5) Treasury may issue such coins beginning on January 1, 2021. </p> <p>(Sec.6) Treasury must sell such coins at a price equal to the sum of their face value and the cost of designing and issuing the coins and may make bulk sales of the coins issued at a reasonable discount.</p>"," <p><b>1921 Silver Dollar Coin Anniversary Act</b></p> <p>(Sec. 3) The Department of the Treasury shall mint and issue $1 coins in recognition of the 100th anniversary of completion of coinage of the Morgan dollar and the 100th anniversary of commencement of coinage of the Peace dollar. </p> <p>(Sec. 5) Treasury may issue such coins beginning on January 1, 2021. </p> <p>(Sec.6) Treasury must sell such coins at a price equal to the sum of their face value and the cost of designing and issuing the coins and may make bulk sales of the coins issued at a reasonable discount.</p>",6192,1921 Silver Dollar Coin Anniversary Act,,,,,,
37,"Designates the facility of the United States Postal Service located at 1585 Yanceyville Street, Greensboro, North Carolina, as the ""J. Howard Coble Post Office Building.""",,,," <p>Designates the facility of the United States Postal Service located at 1585 Yanceyville Street, Greensboro, North Carolina, as the ""J. Howard Coble Post Office Building.""</p>",6161,"To designate the facility of the United States Postal Service located at 1585 Yanceyville Street, Greensboro, North Carolina, as the J. Howard Coble Post Office Building.",,,,,,
38," <p><strong>Strengthening the Opposition to Female Genital Mutilation Act of 2020 or the STOP FGM Act of 2020</strong></p> <p> This bill revises the federal criminal statute that prohibits certain conduct often referred to as female genital mutilation (FGM).</p> <p>Currently, the FGM statute prohibits performing certain procedures&#8212;circumcising, excising, or infibulating the female genitalia of a minor&#8212;for nonmedical purposes. However, it does not define FGM.</p> <p>In 2018 a federal district court invalidated the FGM statute in <em>United States vs. Nagarwala</em>. The court found, among other things, that the statute exceeds Congress's authority under the Commerce Clause of the Constitution because it (1) lacks detailed, record-based findings regarding how FGM substantially affects interstate commerce; and (2) lacks jurisdictional elements (e.g., requirements that charged offenses have an explicit connection with, or effect on, interstate commerce). In 2019, the Department of Justice (DOJ) decided not to appeal the decision. </p> <p>This bill creates a statutory definition of <em>female genital mutilation </em>and provides explicit findings regarding the effects of FGM on interstate commerce. </p> <p>The bill broadens the scope of prohibited FGM-related conduct on a minor to include</p> <ul> <li>attempting or conspiring to perform FGM;</li> <li>facilitating or consenting to FGM, as a parent, guardian, or caretaker; and</li> <li>transporting a minor for FGM.</li> </ul> <p>It expressly requires prohibited FGM-related conduct to have a connection to interstate or foreign commerce. </p> <p>The bill increases from 5 to 10 years the statutory maximum prison term for an FGM offense. It also prohibits a federal criminal defendant from asserting, as a defense, that FGM is required as a matter of religion, custom, tradition, ritual, or standard practice.</p> <p>DOJ, in consultation with various federal agencies, must report annually on FGM, including the estimated number of women and girls at risk of or subjected to FGM and actions taken by government agencies to combat the practice.</p> <p>Finally, the bill expresses the sense of Congress that the court erred in invalidating the existing statute. It expresses, among other sentiments, that Congress elects to amend the statute to clarify the commercial nature of FGM, but that Congress does not ratify the interpretation of the federal district court in <em>Nagarwala</em>. </p>"," <p><strong>Strengthening the Opposition to Female Genital Mutilation Act of 2020 or the STOP FGM Act of 2020</strong></p> <p>This bill revises the federal criminal statute that prohibits certain conduct often referred to as female genital mutilation (FGM).</p> <p>Currently, the FGM statute prohibits performing certain procedures&#8212;circumcising, excising, or infibulating the female genitalia of a minor&#8212;for nonmedical purposes. However, it does not define FGM.</p> <p>In 2018 a federal district court invalidated the FGM statute in<em> United States vs. Nagarwala</em>. The court found, among other things, that the statute exceeds Congress's authority under the Commerce Clause of the Constitution because it (1) lacks detailed, record-based findings regarding how FGM substantially affects interstate commerce; and (2) lacks jurisdictional elements (e.g., requirements that charged offenses have an explicit connection with, or effect on, interstate commerce). In 2019, the Department of Justice (DOJ) decided not to appeal the decision.</p> <p>This bill creates a statutory definition of <em>female genital mutilation</em> and provides explicit findings regarding the effects of FGM on interstate commerce.</p> <p>The bill broadens the scope of prohibited FGM-related conduct on a minor to include</p> <ul> <li>attempting or conspiring to perform FGM;</li> <li>facilitating or consenting to FGM, as a parent, guardian, or caretaker; and</li> <li>transporting a minor for FGM.</li> </ul> <p>It expressly requires prohibited FGM-related conduct to have a connection to interstate or foreign commerce.</p> <p>The bill increases from 5 to 10 years the statutory maximum prison term for an FGM offense. It also prohibits a federal criminal defendant from asserting, as a defense, that FGM is required as a matter of religion, custom, tradition, ritual, or standard practice.</p> <p>DOJ, in consultation with various federal agencies, must report annually on FGM, including the estimated number of women and girls at risk of or subjected to FGM and actions taken by government agencies to combat the practice.</p> <p>Finally, the bill expresses the sense of Congress that the court erred in invalidating the existing statute. It expresses, among other sentiments, that Congress elects to amend the statute to clarify the commercial nature of FGM, but that Congress does not ratify the interpretation of the federal district court in <em>Nagarwala</em>.</p>"," <p><strong>Strengthening the Opposition to Female Genital Mutilation Act of 2020 or the STOP FGM Act of 2020</strong></p> <p> This bill revises the federal criminal statute that prohibits certain conduct often referred to as female genital mutilation (FGM).</p> <p>Currently, the FGM statute prohibits performing certain procedures&#8212;circumcising, excising, or infibulating the female genitalia of a minor&#8212;for nonmedical purposes. However, it does not define FGM.</p> <p>In 2018 a federal district court invalidated the FGM statute in <em>United States vs. Nagarwala</em>. The court found, among other things, that the statute exceeds Congress's authority under the Commerce Clause of the Constitution because it (1) lacks detailed, record-based findings regarding how FGM substantially affects interstate commerce; and (2) lacks jurisdictional elements (e.g., requirements that charged offenses have an explicit connection with, or effect on, interstate commerce). In 2019, the Department of Justice (DOJ) decided not to appeal the decision.</p> <p>This bill creates a statutory definition of <em>female genital mutilation </em>and provides explicit findings regarding the effects of FGM on interstate commerce. </p> <p>The bill broadens the scope of prohibited FGM-related conduct on a minor to include</p> <ul> <li>attempting or conspiring to perform FGM;</li> <li>facilitating or consenting to FGM, as a parent, guardian, or caretaker; and</li> <li>transporting a minor for FGM.</li> </ul> <p>It expressly requires prohibited FGM-related conduct to have a connection to interstate or foreign commerce. </p> <p>The bill increases from 5 to 10 years the statutory maximum prison term for an FGM offense. It also prohibits a federal criminal defendant from asserting, as a defense, that FGM is required as a matter of religion, custom, tradition, ritual, or standard practice.</p> <p>DOJ, in consultation with various federal agencies, must report annually on FGM, including the estimated number of women and girls at risk of or subjected to FGM and actions taken by government agencies to combat the practice.</p> <p>Finally, the bill expresses the sense of Congress that the court erred in invalidating the existing statute. It expresses, among other sentiments, that Congress elects to amend the statute to clarify the commercial nature of FGM, but that Congress does not ratify the interpretation of the federal district court in <em>Nagarwala</em>.</p>"," <p><strong>Strengthening the Opposition to Female Genital Mutilation Act of 2020 or the STOP FGM Act of 2020</strong></p> <p> This bill revises the federal criminal statute that prohibits certain conduct often referred to as female genital mutilation (FGM).</p> <p>Currently, the FGM statute prohibits performing certain procedures&#8212;circumcising, excising, or infibulating the female genitalia of a minor&#8212;for nonmedical purposes. However, it does not define FGM.</p> <p>In 2018 a federal district court invalidated the FGM statute in <em>United States vs. Nagarwala</em>. The court found, among other things, that the statute exceeds Congress's authority under the Commerce Clause of the Constitution because it (1) lacks detailed, record-based findings regarding how FGM substantially affects interstate commerce; and (2) lacks jurisdictional elements (e.g., requirements that charged offenses have an explicit connection with, or effect on, interstate commerce). In 2019, the Department of Justice (DOJ) decided not to appeal the decision.</p> <p>This bill creates a statutory definition of <em>female genital mutilation </em>and provides explicit findings regarding the effects of FGM on interstate commerce. </p> <p>The bill broadens the scope of prohibited FGM-related conduct on a minor to include</p> <ul> <li>attempting or conspiring to perform FGM;</li> <li>facilitating or consenting to FGM, as a parent, guardian, or caretaker; and</li> <li>transporting a minor for FGM.</li> </ul> <p>It expressly requires prohibited FGM-related conduct to have a connection to interstate or foreign commerce. </p> <p>The bill increases from 5 to 10 years the statutory maximum prison term for an FGM offense. It also prohibits a federal criminal defendant from asserting, as a defense, that FGM is required as a matter of religion, custom, tradition, ritual, or standard practice.</p> <p>DOJ, in consultation with various federal agencies, must report annually on FGM, including the estimated number of women and girls at risk of or subjected to FGM and actions taken by government agencies to combat the practice.</p> <p>Finally, the bill expresses the sense of Congress that the court erred in invalidating the existing statute. It expresses, among other sentiments, that Congress elects to amend the statute to clarify the commercial nature of FGM, but that Congress does not ratify the interpretation of the federal district court in <em>Nagarwala</em>.</p>"," <p><strong>Strengthening the Opposition to Female Genital Mutilation Act of 2020 or the STOP FGM Act of 2020</strong></p> <p> This bill revises the federal criminal statute that prohibits certain conduct often referred to as female genital mutilation (FGM).</p> <p>Currently, the FGM statute prohibits performing certain procedures&#8212;circumcising, excising, or infibulating the female genitalia of a minor&#8212;for nonmedical purposes. However, it does not define FGM.</p> <p>In 2018 a federal district court invalidated the FGM statute in <em>United States vs. Nagarwala</em>. The court found, among other things, that the statute exceeds Congress's authority under the Commerce Clause of the Constitution because it (1) lacks detailed, record-based findings regarding how FGM substantially affects interstate commerce; and (2) lacks jurisdictional elements (e.g., requirements that charged offenses have an explicit connection with, or effect on, interstate commerce). In 2019, the Department of Justice (DOJ) decided not to appeal the decision.</p> <p>This bill creates a statutory definition of <em>female genital mutilation </em>and provides explicit findings regarding the effects of FGM on interstate commerce. </p> <p>The bill broadens the scope of prohibited FGM-related conduct on a minor to include</p> <ul> <li>attempting or conspiring to perform FGM;</li> <li>facilitating or consenting to FGM, as a parent, guardian, or caretaker; and</li> <li>transporting a minor for FGM.</li> </ul> <p>It expressly requires prohibited FGM-related conduct to have a connection to interstate or foreign commerce. </p> <p>The bill increases from 5 to 10 years the statutory maximum prison term for an FGM offense. It also prohibits a federal criminal defendant from asserting, as a defense, that FGM is required as a matter of religion, custom, tradition, ritual, or standard practice.</p> <p>DOJ, in consultation with various federal agencies, must report annually on FGM, including the estimated number of women and girls at risk of or subjected to FGM and actions taken by government agencies to combat the practice.</p> <p>Finally, the bill expresses the sense of Congress that the court erred in invalidating the existing statute. It expresses, among other sentiments, that Congress elects to amend the statute to clarify the commercial nature of FGM, but that Congress does not ratify the interpretation of the federal district court in <em>Nagarwala</em>.</p>",6100,Strengthening the Opposition to Female Genital Mutilation Act of 2020,,,,,,
39,"Designates the facility of the United States Postal Service located at 14955 West Bell Road in Surprise, Arizona, as the ""Marc Lee Memorial Post Office Building.""",,,," <p>Designates the facility of the United States Postal Service located at 14955 West Bell Road in Surprise, Arizona, as the ""Marc Lee Memorial Post Office Building.""</p>",6016,"To designate the facility of the United States Postal Service located at 14955 West Bell Road in Surprise, Arizona, as the Marc Lee Memorial Post Office Building.",,,,,,
40,"Designates the facility of the United States Postal Service located at 4150 Chicago Avenue in Riverside, California, as the ""Woodie Rucker-Hughes Post Office Building.""",,,," <p>Designates the facility of the United States Postal Service located at 4150 Chicago Avenue in Riverside, California, as the ""Woodie Rucker-Hughes Post Office Building.""</p>",5983,"To designate the facility of the United States Postal Service located at 4150 Chicago Avenue in Riverside, California, as the Woodie Rucker-Hughes Post Office Building.",,,,,,
41," <p><b>Mary Ann Shadd Cary Post Office Dedication Act</b></p> <p>Designates the facility of the United States Postal Service located at 500 Delaware Avenue, Suite 1, in Wilmington, Delaware, as the ""Mary Ann Shadd Cary Post Office.""</p>",,," <p><b>Mary Ann Shadd Cary Post Office Dedication Act</b></p> <p>Designates the facility of the United States Postal Service located at 500 Delaware Avenue, Suite 1, in Wilmington, Delaware, as the ""Mary Ann Shadd Cary Post Office.""</p>"," <p><b>Mary Ann Shadd Cary Post Office Dedication Act</b></p> <p>Designates the facility of the United States Postal Service located at 500 Delaware Avenue, Suite 1, in Wilmington, Delaware, as the ""Mary Ann Shadd Cary Post Office.""</p>",5972,Mary Ann Shadd Cary Post Office Dedication Act,,,,,,
42, <p><b>Weir Farm National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Weir Farm National Historic Site in Connecticut as the Weir Farm National Historical Park. </p>, <p><b>Weir Farm National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Weir Farm National Historic Site in Connecticut as the Weir Farm National Historical Park. </p>, <p><b>Weir Farm National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Weir Farm National Historic Site in Connecticut as the Weir Farm National Historical Park. </p>, <p><b>Weir Farm National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Weir Farm National Historic Site in Connecticut as the Weir Farm National Historical Park. </p>, <p><b>Weir Farm National Historical Park Redesignation Act</b></p> <p>This bill redesignates the Weir Farm National Historic Site in Connecticut as the Weir Farm National Historical Park. </p>,5852,Weir Farm National Historical Park Redesignation Act,,,,,,
43, <div><b><br /></b></div> <div><b>Safeguarding Therapeutics Act</b></div> <p>This bill authorizes the Food and Drug Administration to destroy imported counterfeit medical devices.</p>,,,, <p><strong>Safeguarding Therapeutics Act</strong></p> <p>This bill authorizes the Food and Drug Administration to destroy imported counterfeit medical devices.</p>,5663,Safeguarding Therapeutics Act,,,,,,
44,"Designates the facility of the United States Postal Service located at 305 Northwest 5th Street in Oklahoma City, Oklahoma, as the ""Clara Luper Post Office Building.""",,,," <p>Designates the facility of the United States Postal Service located at 305 Northwest 5th Street in Oklahoma City, Oklahoma, as the ""Clara Luper Post Office Building.""</p>",5597,"To designate the facility of the United States Postal Service located at 305 Northwest 5th Street in Oklahoma City, Oklahoma, as the Clara Luper Post Office Building.",,,,,,
45, <p><b>Rocky Mountain National Park Ownership Correction Act</b> </p>  <p>This bill directs the Department of the Interior to convey specified federal land to the owner of specified nonfederal land if the owner of the nonfederal land offers to exchange the land.</p> <p>The values of the federal and nonfederal land to be exchanged shall be considered to be of equal value.</p> <p>The nonfederal land that is acquired by Interior shall be administered as part of Rocky Mountain National Park in Colorado. </p>, <p><b>Rocky Mountain National Park Ownership Correction Act</b> </p> <p>This bill directs the Department of the Interior to convey specified federal land to the owner of specified nonfederal land if the owner of the nonfederal land offers to exchange the land.</p> <p>The values of the federal and nonfederal land to be exchanged shall be considered to be of equal value.</p> <p>The nonfederal land that is acquired by Interior shall be administered as part of Rocky Mountain National Park in Colorado. </p>, <p><b>Rocky Mountain National Park Ownership Correction Act</b> </p> <p>This bill directs the Department of the Interior to convey specified federal land to the owner of specified nonfederal land if the owner of the nonfederal land offers to exchange the land.</p> <p>The values of the federal and nonfederal land to be exchanged shall be considered to be of equal value.</p> <p>The nonfederal land that is acquired by Interior shall be administered as part of Rocky Mountain National Park in Colorado. </p>, <p><b>Rocky Mountain National Park Ownership Correction Act</b> </p> <p>This bill directs the Department of the Interior to convey specified federal land to the owner of specified nonfederal land if the owner of the nonfederal land offers to exchange the land.</p> <p>The values of the federal and nonfederal land to be exchanged shall be considered to be of equal value.</p> <p>The nonfederal land that is acquired by Interior shall be administered as part of Rocky Mountain National Park in Colorado. </p>, <p><b>Rocky Mountain National Park Ownership Correction Act</b> </p> <p>This bill directs the Department of the Interior to convey specified federal land to the owner of specified nonfederal land if the owner of the nonfederal land offers to exchange the land.</p> <p>The values of the federal and nonfederal land to be exchanged shall be considered to be of equal value.</p> <p>The nonfederal land that is acquired by Interior shall be administered as part of Rocky Mountain National Park in Colorado. </p>,5459,Rocky Mountain National Park Ownership Correction Act,,,,,,
46," <p><b>Rocky Mountain National Park Boundary Modification Act</b></p> <p>This bill authorizes the Department of the Interior to acquire, by donation, approximately 40 acres of specified nonfederal land for inclusion in Rocky Mountain National Park in Colorado. Upon acquisition, Interior shall (1) modify the boundary of the park to include the acquisition, and (2) administer the acquired land as part of the park. </p>"," <p><b>Rocky Mountain National Park Boundary Modification Act</b></p> <p>This bill authorizes the Department of the Interior to acquire, by donation, approximately 40 acres of specified nonfederal land for inclusion in Rocky Mountain National Park in Colorado. Upon acquisition, Interior shall (1) modify the boundary of the park to include the acquisition, and (2) administer the acquired land as part of the park. </p>"," <p><b>Rocky Mountain National Park Boundary Modification Act</b></p> <p>This bill authorizes the Department of the Interior to acquire, by donation, approximately 40 acres of specified nonfederal land for inclusion in Rocky Mountain National Park in Colorado. Upon acquisition, Interior shall (1) modify the boundary of the park to include the acquisition, and (2) administer the acquired land as part of the park. </p>"," <p><b>Rocky Mountain National Park Boundary Modification Act</b></p> <p>This bill authorizes the Department of the Interior to acquire, by donation, approximately 40 acres of specified nonfederal land for inclusion in Rocky Mountain National Park in Colorado. Upon acquisition, Interior shall (1) modify the boundary of the park to include the acquisition, and (2) administer the acquired land as part of the park.</p>"," <p><b>Rocky Mountain National Park Boundary Modification Act</b></p> <p>This bill authorizes the Department of the Interior to acquire, by donation, approximately 40 acres of specified nonfederal land for inclusion in Rocky Mountain National Park in Colorado. Upon acquisition, Interior shall (1) modify the boundary of the park to include the acquisition, and (2) administer the acquired land as part of the park.</p>",5458,Rocky Mountain National Park Boundary Modification Act,,,,,,
47,"Designates the facility of the United States Postal Service located at 599 East Genesse Street in Fayetteville, New York, as the ""George H. Bacel Post Office Building.""",,,," <p>Designates the facility of the United States Postal Service located at 599 East Genesse [<i>sic</i>] Street in Fayetteville, New York, as the ""George H. Bacel Post Office Building.""</p>",5451,"To designate the facility of the United States Postal Service located at 599 East Genesse Street in Fayetteville, New York, as the George H. Bacel Post Office Building.",,,,,,
48," <p><b>Securing America's Ports Act</b></p> <p>This bill requires the Department of Homeland Security (DHS) to report to Congress a plan to scan all commercial and passenger vehicles entering the United States at a land port of entry using large-scale non-intrusive inspection systems, such as X-ray and gamma-ray imaging systems. The plan shall include elements such as (1) an inventory of such systems currently in use, (2) the estimated costs of achieving a 100% scanning rate, and (3) the anticipated impact that increasing the scanning rate will have on wait times at land ports of entry. DHS shall periodically report to Congress on the progress in implementing the plan.</p> <p>DHS shall also carry out a pilot program to research and develop technology enhancements to inspection areas at land ports of entry. </p>"," <p><b>Securing America's Ports Act</b></p> <p>This bill requires the Department of Homeland Security (DHS) to report to Congress a plan to expeditiously scan all commercial and passenger vehicles entering the United States at a land port of entry using large-scale non-intrusive inspection systems, such as X-ray and gamma-ray imaging systems, or similar technology. The plan shall include elements such as (1) an inventory of such systems currently in use, (2) the estimated costs of achieving a 100% scanning rate, and (3) the anticipated impact that increasing the scanning rate will have on wait times at land ports of entry. DHS shall periodically report to Congress on the progress in implementing the plan.</p> <p>DHS shall also research and develop technology enhancements to inspection areas at land ports of entry. </p>"," <p><b>Securing America's Ports Act</b></p> <p>This bill requires the Department of Homeland Security (DHS) to report to Congress a plan to expeditiously scan all commercial and passenger vehicles entering the United States at a land port of entry using large-scale non-intrusive inspection systems, such as X-ray and gamma-ray imaging systems, or similar technology. The plan shall include elements such as (1) an inventory of such systems currently in use, (2) the estimated costs of achieving a 100% scanning rate, and (3) the anticipated impact that increasing the scanning rate will have on wait times at land ports of entry. DHS shall periodically report to Congress on the progress in implementing the plan.</p> <p>DHS shall also research and develop technology enhancements to inspection areas at land ports of entry. </p>"," <p><b>Securing America's Ports Act</b></p>  <p>This bill requires the Department of Homeland Security (DHS) to report to Congress a plan to perform high-throughput scanning of all commercial and passenger vehicles and freight rail traffic entering the United States at a land port of entry or rail-border crossing using large-scale non-intrusive inspection systems, such as X-ray and gamma-ray imaging systems, or similar technology. The plan shall include elements such as (1) an inventory of such systems currently in use, (2) the estimated costs of achieving a 100% scanning rate, and (3) the anticipated impact that increasing the scanning rate will have on wait times at land ports of entry and rail-border crossings. DHS shall periodically report to Congress on the progress in implementing the plan.</p>"," <p><b>Securing America's Ports Act</b></p> <p>This bill requires the Department of Homeland Security (DHS) to report to Congress a plan to perform high-throughput scanning of all commercial and passenger vehicles and freight rail traffic entering the United States at a land port of entry or rail-border crossing using large-scale non-intrusive inspection systems, such as X-ray and gamma-ray imaging systems, or similar technology. The plan shall include elements such as (1) an inventory of such systems currently in use, (2) the estimated costs of achieving a 100% scanning rate, and (3) the anticipated impact that increasing the scanning rate will have on wait times at land ports of entry and rail-border crossings. DHS shall periodically report to Congress on the progress in implementing the plan.</p>",5273,Securing America's Ports Act,," <p><b>Securing America's Ports Act</b></p>  <p>This bill requires the Department of Homeland Security (DHS) to report to Congress a plan to perform high-throughput scanning of all commercial and passenger vehicles and freight rail traffic entering the United States at a land port of entry or rail-border crossing using large-scale non-intrusive inspection systems, such as X-ray and gamma-ray imaging systems, or similar technology. The plan shall include elements such as (1) an inventory of such systems currently in use, (2) the estimated costs of achieving a 100% scanning rate, and (3) the anticipated impact that increasing the scanning rate will have on wait times at land ports of entry and rail-border crossings. DHS shall periodically report to Congress on the progress in implementing the plan.</p>"," <p><b>Securing America's Ports Act</b></p> <p>This bill requires the Department of Homeland Security (DHS) to report to Congress a plan to perform high-throughput scanning of all commercial and passenger vehicles and freight rail traffic entering the United States at a land port of entry or rail-border crossing using large-scale non-intrusive inspection systems, such as X-ray and gamma-ray imaging systems, or similar technology. The plan shall include elements such as (1) an inventory of such systems currently in use, (2) the estimated costs of achieving a 100% scanning rate, and (3) the anticipated impact that increasing the scanning rate will have on wait times at land ports of entry and rail-border crossings. DHS shall periodically report to Congress on the progress in implementing the plan.</p>",,,
49,"Designates the facility of the United States Postal Service located at 476 East Main Street in Galesburg, Illinois, as the ""Senior Airman Daniel Miller Post Office Building.""",,,," <p>Designates the facility of the United States Postal Service located at 476 East Main Street in Galesburg, Illinois, as the ""Senior Airman Daniel Miller Post Office Building.""</p>",5123,"To designate the facility of the United States Postal Service located at 476 East Main Street in Galesburg, Illinois, as the Senior Airman Daniel Miller Post Office Building.",,,,,,
